Date,Month,Event,Category,TV Spends (cr),Print Spends (cr),Radio Spends (cr),OOH Spends (cr),Digital Media Spends (cr),Meta Offline Spends,Meta Others Spends,Meta Online Spends,Google Online Spends,Affiliate Spends,Digital Media Impressions,Meta Offline Impressions,Meta Online Impressions,Meta Other Impressions,Google Online Impressions,Print Insertions,Print Reach,Sales Final Output
2023-04-01,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"571,127,905"
2023-04-02,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"499,286,603"
2023-04-03,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"497,434,192"
2023-04-04,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"556,712,793"
2023-04-05,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"622,263,813"
2023-04-06,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"853,540,677"
2023-04-07,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"1,180,883,828"
2023-04-08,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"597,579,082"
2023-04-09,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"1,388,397,052"
2023-04-10,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"542,393,893"
2023-04-11,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"763,977,037"
2023-04-12,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"540,737,011"
2023-04-13,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"725,224,526"
2023-04-14,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"995,099,360"
2023-04-15,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"508,921,019"
2023-04-16,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"519,243,073"
2023-04-17,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"726,290,189"
2023-04-18,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"595,314,252"
2023-04-19,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"591,086,880"
2023-04-20,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"782,515,251"
2023-04-21,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",0,21121880,"1,021,810,554"
2023-04-22,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 11,125,545 ", -   , -   ," 615,342 "," 2,986,410 ",2,21121880,"525,998,915"
