Date,Event,Category,TV Spends,Print Spends,OOH Spends,Digital Media Spends,Meta Offline Spends,Meta Online Spends,Google Online Spends,Print Insertions,Print Impressions,Digital Media Impressions,Meta Offline Impressions,Meta Online Impressions,Google Online Impressions,Sales Final Output,Campaign Period Flag,Weekday Flag,,,,
01-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","57,11,27,905",FALSE,FALSE,,,,
02-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","49,92,86,603",FALSE,FALSE,,,,
03-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","49,74,34,192",FALSE,FALSE,,,,
04-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","55,67,12,793",FALSE,FALSE,,,,
05-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","62,22,63,813",FALSE,FALSE,,,,
06-04-2024,Full Month,Air Conditioner,66198.2,1307926.31,495098.04,193611.11,36241.83,33423.86,276338.24,2,21121880,"16,13,425","14,49,673","41,77,982","45,11,644","85,35,40,677",TRUE,TRUE,,,,
07-04-2024,Full Month,Air Conditioner,66198.2,1307926.31,495098.04,193611.11,36241.83,33423.86,276338.24,2,21121880,"16,13,425","14,49,673","41,77,982","45,11,644","1,18,08,83,828",TRUE,TRUE,,,,
08-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","59,75,79,082",FALSE,FALSE,,,,
09-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","1,38,83,97,052",FALSE,FALSE,,,,
10-04-2024,Full Month,Air Conditioner,66198.2,0,495098.04,193611.11,36241.83,33423.86,276338.24,0,0,"16,13,425","14,49,673","41,77,982","45,11,644","54,23,93,893",FALSE,FALSE,,,,
