Date,Month,Event,Category,TV Spends (cr),Print Spends (cr),Radio Spends (cr),OOH Spends (cr),Digital Media Spends (cr),Meta Offline Spends,Meta Others Spends,Meta Online Spends,Google Online Spends,Affiliate Spends,Digital Media Impressions,Meta Offline Impressions,Meta Online Impressions,Meta Other Impressions,Google Online Impressions,Print Insertions,Print Reach,Sales Final Output
01-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"57,11,27,905"
02-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"49,92,86,603"
03-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"49,74,34,192"
04-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"55,67,12,793"
05-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"62,22,63,813"
06-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"85,35,40,677"
07-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"1,18,08,83,828"
08-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"59,75,79,082"
09-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"1,38,83,97,052"
10-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"54,23,93,893"
11-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"76,39,77,037"
12-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"54,07,37,011"
13-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"72,52,24,526"
14-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"99,50,99,360"
15-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"50,89,21,019"
16-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"51,92,43,073"
17-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"72,62,90,189"
18-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"59,53,14,252"
19-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"59,10,86,880"
20-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"78,25,15,251"
21-04-2023,23-Apr,Full Month,Air Conditioner,0,0,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",0,21121880,"1,02,18,10,554"
22-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"52,59,98,915"
23-04-2023,23-Apr,Full Month,Air Conditioner,0,1566460.02,14352.69,738562.09,1335065.36,0,0,21536.98,182917.61,182917.61," 1,11,25,545 ", -   , -   ," 6,15,342 "," 29,86,410 ",2,21121880,"49,76,91,540"
